Num,KS,fillQual,SType
52,0.409397193073588,2,LHS
52,0.252153019816747,2,LHS
52,0.258756347694808,4,LHS
52,0.41818402691883,5,LHS
52,0.430703591609834,3,LHS
52,0.348989754243305,3,LHS
52,0.445577786651587,3,LHS
52,0.378501279737189,6,LHS
52,0.488765004025025,7,LHS
52,0.27857821740974,2,LHS
52,0.309663428557956,4,LHS
52,0.300635265357876,3,LHS
52,0.306791637678128,3,LHS
52,0.225706168299568,3,LHS
52,0.272437219151111,3,LHS
52,0.359785717466813,2,LHS
56,0.289074734481198,2,LHS
56,0.282399326655022,2,LHS
56,0.299935706258119,3,LHS
56,0.325770454556512,2,LHS
56,0.326883517157161,2,LHS
56,0.186189130149216,3,LHS
56,0.244615940371994,3,LHS
56,0.324490466622231,2,LHS
56,0.326359826020113,4,LHS
56,0.281880233140833,4,LHS
56,0.336546552755897,2,LHS
56,0.305948642849845,3,LHS
56,0.313638860373356,2,LHS
56,0.22203514140731,4,LHS
56,0.338609766421298,2,LHS
56,0.351540641526508,2,LHS
56,0.301660763545959,2,LHS
56,0.281187889520825,5,LHS
56,0.311559032017943,4,LHS
56,0.251038284332567,4,LHS
56,0.377875363066249,2,LHS
56,0.333951036532858,3,LHS
56,0.291788061749238,3,LHS
56,0.320739317216517,5,LHS
56,0.268161850920254,2,LHS
56,0.328636038551919,2,LHS
56,0.32056628604512,3,LHS
56,0.415695043811211,4,LHS
56,0.288606506731018,4,LHS
56,0.432506969412428,5,LHS
60,0.284960359895755,3,LHS
60,0.357845273368006,4,LHS
60,0.345054975244193,2,LHS
60,0.277277574790431,2,LHS
60,0.304363067871293,2,LHS
60,0.258493380882646,2,LHS
60,0.261437357996701,2,LHS
60,0.275002434226424,2,LHS
60,0.322224542386515,5,LHS
60,0.333084763299455,2,LHS
60,0.367047933664492,2,LHS
60,0.191133087802434,3,LHS
60,0.388936423065633,2,LHS
60,0.207286205671861,2,LHS
60,0.351106475107156,3,LHS
60,0.55395726724433,4,LHS
60,0.252454705711594,2,LHS
60,0.313736081852283,4,LHS
60,0.32889332055405,3,LHS
60,0.338874592741432,2,LHS
60,0.190334226910122,2,LHS
60,0.258612941781283,4,LHS
60,0.298594752385169,3,LHS
60,0.290674733183809,2,LHS
60,0.253065993321689,2,LHS
60,0.278629846762122,2,LHS
60,0.298000019460838,2,LHS
60,0.356549032390942,3,LHS
60,0.272156614333231,2,LHS
60,0.261311738290657,2,LHS
64,0.298320709128592,2,LHS
64,0.274615119367912,2,LHS
64,0.200118373584832,2,LHS
64,0.203931426698323,2,LHS
64,0.209482341722576,3,LHS
64,0.269485762572918,2,LHS
64,0.358231380843725,2,LHS
64,0.228839875620923,3,LHS
64,0.23117512442773,2,LHS
64,0.311989764207627,2,LHS
64,0.393971972136946,2,LHS
64,0.17292027198953,2,LHS
64,0.263331862621083,4,LHS
64,0.372736780617979,3,LHS
64,0.236745859098671,3,LHS
64,0.28886386718465,4,LHS
64,0.285387565619511,2,LHS
64,0.255919299555806,4,LHS
64,0.255554275059477,3,LHS
64,0.338798867987408,3,LHS
64,0.271810505568232,2,LHS
64,0.213197382152466,3,LHS
64,0.287736105570179,4,LHS
64,0.256340748317854,2,LHS
64,0.334770976350217,4,LHS
64,0.271124018444008,4,LHS
64,0.326748708286911,3,LHS
64,0.328240521355837,2,LHS
64,0.340038599354874,2,LHS
64,0.232773023387061,3,LHS
68,0.354027360220388,2,LHS
68,0.404632552200119,4,LHS
68,0.201886919941835,3,LHS
68,0.235068967204769,3,LHS
68,0.332998285442979,2,LHS
68,0.299591559949253,2,LHS
68,0.265810548174588,2,LHS
68,0.181756500849838,2,LHS
68,0.384567149476689,3,LHS
68,0.337504888819949,2,LHS
68,0.287615669637402,2,LHS
68,0.393782505680132,3,LHS
68,0.390333166676063,2,LHS
68,0.376507864324764,2,LHS
68,0.283587153214315,2,LHS
68,0.246413021360845,3,LHS
68,0.299542824860762,2,LHS
68,0.228190479815534,3,LHS
68,0.254638421932135,3,LHS
68,0.344904514542254,4,LHS
68,0.239540795782264,2,LHS
68,0.313300228922411,4,LHS
68,0.269647524166497,2,LHS
68,0.294551526430822,2,LHS
68,0.25021805296038,2,LHS
68,0.282682888228683,2,LHS
68,0.309237384154356,4,LHS
68,0.250654333456299,2,LHS
68,0.195959037226579,2,LHS
68,0.207936656118702,2,LHS
72,0.414127094945642,2,LHS
72,0.222762982135492,2,LHS
72,0.229347113228018,2,LHS
72,0.360430679145388,2,LHS
72,0.233425010095309,2,LHS
72,0.236419924870356,2,LHS
72,0.2823396764852,2,LHS
72,0.25456485297067,2,LHS
72,0.169384307753684,2,LHS
72,0.183161915789713,2,LHS
72,0.404892495090193,2,LHS
72,0.192296511266474,2,LHS
72,0.325505908796785,4,LHS
72,0.223001609843724,3,LHS
72,0.312658796379635,2,LHS
72,0.284029358295101,2,LHS
72,0.239111315449905,2,LHS
72,0.280449937265828,2,LHS
72,0.248472864835294,2,LHS
72,0.322858591608379,2,LHS
72,0.295226024113059,3,LHS
72,0.387008661153844,2,LHS
72,0.267965601888566,2,LHS
72,0.360927935978169,2,LHS
72,0.257147154744471,2,LHS
72,0.186812871614152,2,LHS
72,0.31299524723102,2,LHS
72,0.323617415611592,3,LHS
72,0.287608044137179,2,LHS
72,0.202095515952751,2,LHS
76,0.301668405765631,5,LHS
76,0.221066354030019,2,LHS
76,0.280967098637511,2,LHS
76,0.186100245334584,2,LHS
76,0.200993734378517,2,LHS
76,0.312931601045662,2,LHS
76,0.268666277108498,2,LHS
76,0.346024586207541,3,LHS
76,0.223458372628434,2,LHS
76,0.301160155266756,2,LHS
76,0.190419173636506,3,LHS
76,0.201224555275053,2,LHS
76,0.464412913904487,3,LHS
76,0.21163719928845,2,LHS
76,0.226067502475495,3,LHS
76,0.359908239590564,2,LHS
76,0.252856223588634,2,LHS
76,0.162326814550254,2,LHS
76,0.220903005905596,2,LHS
76,0.238868554589826,3,LHS
76,0.337655632286451,3,LHS
76,0.195569724979957,2,LHS
76,0.198196497612591,2,LHS
76,0.330522710413264,5,LHS
76,0.323822134090803,3,LHS
76,0.2642327091099,3,LHS
76,0.237075996362871,2,LHS
76,0.263108881593351,2,LHS
76,0.20336915237042,2,LHS
76,0.148360040345389,4,LHS
80,0.299713356459295,2,LHS
80,0.216097051196599,3,LHS
80,0.348947553042945,2,LHS
80,0.386365474528197,2,LHS
80,0.222038843831645,3,LHS
80,0.258521394758224,2,LHS
80,0.214172106781616,2,LHS
80,0.202945436676867,2,LHS
80,0.217972776720946,4,LHS
80,0.274241051663659,3,LHS
80,0.252583876209612,2,LHS
80,0.200448623389008,3,LHS
80,0.238857232863516,3,LHS
80,0.25231159476698,2,LHS
80,0.394593475267708,2,LHS
80,0.320044506935356,2,LHS
80,0.315440916897358,2,LHS
80,0.254102149936022,2,LHS
80,0.425703256284635,4,LHS
80,0.271346334794518,2,LHS
80,0.362392374270827,2,LHS
80,0.207097895310425,2,LHS
80,0.290723597725029,4,LHS
80,0.331936460365572,2,LHS
80,0.211025861020429,2,LHS
80,0.200811633688656,2,LHS
80,0.214734670941564,3,LHS
80,0.26723831741599,2,LHS
80,0.257927605684511,3,LHS
80,0.331342985097864,2,LHS
